,R²
OLS,0.26440794799282263
Weighted OLS,0.19635277090640857
Huber,0.28876465331199264
ElasticNet,0.19892467871733366
PCR,0.23063956371070882
PLS,0.2646554518374845
GLM,0.167721940761121
NN,0.22488374035153313
GBR,0.024233877292144212
RF,0.06331188743191807
