,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.3198987117413219,0.12749695282375192,0.38809347,0.0693849,2.5090694691624558,5.593342
1,0.5383157058077837,0.04878950745761022,0.56117177,0.021808108,11.03343185572202,25.732254
2,0.665676747209408,0.06148304780270205,0.67021924,0.050984245,10.82699656245982,13.145615
3,0.8389509007275137,0.08201588366755347,0.83890563,0.06309468,10.229127130156293,13.2959795
4,1.0372866469474578,0.08778435502445628,1.0241905,0.103996284,11.816304245311992,9.848338
5,1.3275535885769056,0.09030958594808414,1.3236319,0.07107719,14.700029621883887,18.622456
6,1.6910485946823317,0.18523828449305277,1.7151858,0.16759917,9.129044783103426,10.233856
7,2.0716228779581938,0.12051518908875435,2.100932,0.08894927,17.189724329540994,23.61944
8,2.333061270428422,0.22371586383426162,2.372968,0.16379778,10.428680516625565,14.48718
9,2.9630590527714302,0.2942118669123695,3.0226846,0.3277584,10.071174503827788,9.222295
