,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.34092589777351046,0.14960710309073783,0.5232657862782097,0.07406699921365247,2.2788082298922423,7.064762874607701
1,0.6219213926068691,0.1816400019887244,0.7375530240330038,0.03503448968108384,3.423923066492126,21.05219829793127
2,0.6649544933717201,0.13012709091172855,0.8291720682439702,0.024281321078694875,5.110038875938528,34.14855664387674
3,0.8276853707082596,0.17607097667036042,0.9794345890364171,0.034837465334721596,4.70086204075445,28.114404409905223
4,1.0789208123569962,0.28857411731240795,1.1175768584370822,0.028459523644776687,3.7387996623029274,39.26899383089978
5,1.4426049389352555,0.4371609211091694,1.3868846094523257,0.1461001171822842,3.2999402949263232,9.492700185325358
6,1.5372059664015578,0.39362052329872377,1.6879432158549927,0.09665017536581257,3.9052993312418116,17.46446097450184
7,2.0047981198203337,0.1752306333262269,1.9845983364670523,0.055147106520774855,11.44091122519657,35.9873520421134
8,2.3729037759040326,0.35088042139378683,2.125992869312654,0.03266835065029657,6.76271353778661,65.07805955894972
9,2.900488146193109,0.3485960987406527,2.598369423253175,0.21770918750465584,8.320483667693033,11.935047174789569
