,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,-0.5144740875915015,0.5051889186568519,-0.960452441628333,0.23629704466382928,-1.0183795973976153,-4.064597773513129
1,-0.4532492492422099,0.66633667744404,-0.6142811405512125,0.10544755709191911,-0.6802105670977033,-5.825465828627409
2,0.3688636425543445,0.8646528906620173,-0.32258046731297935,0.10219234479247587,0.42660314507469677,-3.156601093438557
3,-0.10557460246587314,0.7839276142428214,-0.13383636550627845,0.020808609026827442,-0.13467391701444953,-6.431778565003085
4,0.19823508288523298,0.7014160930765536,-0.05462593049937079,0.024678044271347864,0.2826212355860465,-2.2135437435288803
5,-0.1511821071244075,0.5239761889879857,0.035555125493707304,0.021874650223703315,-0.2885285825991493,1.6254031552550203
6,-0.12395464804904445,0.5661374461651224,0.1458367683390285,0.03863205879978638,-0.21894797612961858,3.7750193199601085
7,0.3134731509334546,0.4181671300275373,0.27742442548781715,0.026775698995113114,0.7496360388555927,10.361052592444008
8,0.4766396540084427,0.8591419044151644,0.3864914308356669,0.08189972297123024,0.5547857129991828,4.7190810519766195
9,0.949656851653261,0.7508481928027673,0.8038119515188266,0.2100353639082656,1.2647787672077633,3.8270314891824455
