,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.3910049058538894,0.16944408778269093,0.5451074,0.11317344,2.3075747933757733,4.816567
1,0.462536824244701,0.12776346296358648,0.6783925,0.025616432,3.6202589810556978,26.48271
2,0.7099675727695877,0.0881548568571071,0.80123913,0.034917947,8.053641036708798,22.94634
3,0.8113324730188051,0.16793865891766782,0.90377134,0.03954461,4.831123924935961,22.854477
4,1.056176895062095,0.12394624429166698,1.2059282,0.09158812,8.521249684473922,13.166863
5,1.2959179058767263,0.17328212529931872,1.3637924,0.06576897,7.478658884395743,20.736107
6,1.710942906562254,0.25317155736693653,1.7318643,0.2236112,6.758037610372176,7.74498
7,2.0347812879512746,0.1225067446303688,2.0366793,0.047016192,16.60954500171138,43.318676
8,2.340596245009639,0.2159492222161474,2.2526996,0.12741251,10.838641700070097,17.680365
9,2.9630590527714302,0.2942118669123695,2.8067799,0.2756271,10.071174503827788,10.18325
