,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,-0.43600667775902213,0.5007226964959955,-0.9289442833419754,0.25040042189865236,-0.8707547726718815,-3.7098351364518005
1,-0.2981904564472675,0.6165938800532376,-0.6218351250260907,0.048535304602413336,-0.483609173061402,-12.812016533531162
2,-0.31239665460070476,0.9656790728444808,-0.2988809000200575,0.05126528683728576,-0.3234994558601304,-5.83008344357255
3,-0.162143091530042,0.8401736636731403,-0.12735272902531064,0.0622477532443898,-0.19298759118581688,-2.045900813886621
4,0.15508966893342715,0.5274029083223202,0.017991169640861122,0.03189271918932575,0.294062976305479,0.5641152619837643
5,0.4790851644148589,0.7596533107141459,0.1203734015289106,0.01396926507841795,0.6306629059043705,8.617017491842395
6,0.012382236647122038,0.2828283121138451,0.17247470895397704,0.022469126661178042,0.04378004646910276,7.676075334604674
7,-0.07829181253598665,0.7906701147235473,0.30071192504070327,0.04844560930982295,-0.09901956717228508,6.207206996150426
8,0.49018654632368797,0.27971309144262463,0.454773434994088,0.040283955571217306,1.7524619380363757,11.289195128569288
9,1.0790275988287708,0.7238215156102474,0.8712686720479932,0.214730879440716,1.4907371162061303,4.057491285451273
