,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.4104953512537407,0.24263774191458307,1.1639079944814898,0.00959550656236228,1.691803377391508,121.29719123395105
1,0.5461851784196536,0.1697586299797214,1.1975476758331745,0.012964570473717947,3.2174221627784014,92.3707945636046
2,0.6781615413735035,0.2334368526493992,1.2535260747933366,0.014671357845551803,2.90511773816639,85.44035855368303
3,0.8471802612660101,0.2304074823045469,1.3046270137079623,0.008908163325913796,3.6768782540934506,146.4529741964665
4,1.0447754715343578,0.24532252935010634,1.3562550810673408,0.018420165761921344,4.258783220204496,73.62882064129018
5,1.411920488160371,0.41688220015587585,1.4282839122937534,0.02799013432630272,3.3868572168167455,51.02811925241727
6,1.6402762716360328,0.5114622270349393,1.5364561203334335,0.06281543279635163,3.207033061160901,24.459850898658015
7,2.0700975816297222,0.2542510282422446,1.6888121083850063,0.017615113969047524,8.141943794450972,95.87290274434272
8,2.2229742090938305,0.306813703085701,1.7575811864869262,0.033084777656944855,7.245355037069176,53.12356046974947
9,2.9091645763304785,0.390829272242853,1.9451878379359184,0.08724247610003971,7.443568798303279,22.296339178927006
