,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.3340596307075891,0.14001342898694064,0.5172574931212711,0.07197413086452456,2.385911359536431,7.186713988876008
1,0.6297685549679221,0.1759402192259628,0.7166759217450459,0.030240185583614524,3.5794462331497967,23.69945514267521
2,0.6649544933717201,0.13012709091172855,0.8120023056278265,0.024612773081340588,5.110038875938528,32.99109380906863
3,0.908979124800531,0.3124752354745637,0.9755548940357409,0.04151586072199691,2.9089637245013753,23.49836609599303
4,0.997627058264725,0.22106718132572586,1.1125465214992487,0.050905457441854485,4.51277775507888,21.855152225476566
5,1.4426049389352555,0.4371609211091694,1.375767331614115,0.1449102348679125,3.2999402949263232,9.493927967670084
6,1.5372059664015578,0.39362052329872377,1.7370975534553996,0.1157890434155055,3.9052993312418116,15.002261891238511
7,2.070480021428272,0.25935460525856296,2.000864232022624,0.04290214076633183,7.983201298330954,46.63786459795581
8,2.324319698705646,0.3887179917047206,2.155457399553652,0.0837024561728674,5.979449750993914,25.751423531730904
9,2.8855275498347517,0.3544892771014846,2.6122326526326933,0.2230648133681984,8.139957217968744,11.710644153996862
