,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.34092589777351046,0.14960710309073783,0.4066745335892542,0.09211789122642056,2.2788082298922423,4.414718228727916
1,0.6115570099581875,0.15552003668202388,0.6421367848272024,0.030624310047198868,3.932335813478339,20.968204143620767
2,0.6744053557976315,0.14451514243831215,0.7720296284405163,0.03161291916038759,4.666676061890945,24.421333079796824
3,0.7625780836073334,0.17981951114334296,0.9112436474589948,0.04725631047556853,4.240797223608538,19.283004497994124
4,1.038300849630148,0.16244536973452084,1.023373873855882,0.05059214286999001,6.391692489155026,20.227921092129144
5,1.3133060769230733,0.15884006170003898,1.3425611704428346,0.1686035889469172,8.268103543067001,7.9628267632281755
6,1.7215058568005177,0.27271313333136654,1.6547429576809822,0.11285034550584208,6.312515410501926,14.663162529664731
7,2.057361336660695,0.14418255752924264,1.9463667836862708,0.08959578697409631,14.269141648728402,21.723865032281026
8,2.371980300727438,0.3636150843087676,2.1909459133211486,0.06825165766927375,6.523327560066913,32.10099194861741
9,2.900488146193109,0.3485960987406527,2.727412049877281,0.2683446470101676,8.320483667693033,10.163839973204084
