,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.3198987117413219,0.1274969528237519,1.1530142808252892,0.02031098124972554,2.509069469162456,56.76802448138096
1,0.5959669829391373,0.11840358761360163,1.2116088642331477,0.011784442101427909,5.033352408915315,102.81427443106011
2,0.7319187534396414,0.22906280132683107,1.2576560762234297,0.014470011010508798,3.195275484277895,86.91465924317964
3,0.8471802612660101,0.2304074823045469,1.2881182246729337,0.011120194630133473,3.6768782540934506,115.83594240179883
4,0.9830899580112203,0.163845131717352,1.343810969504865,0.022706309777982835,6.000116986735629,59.1822705954576
5,1.4736060016835084,0.3813212271439204,1.4315424240402812,0.020698447332804903,3.8644740884758866,69.16182653814009
6,1.5940081764706204,0.4349786786919263,1.5304995250760243,0.06878216048215835,3.6645662294624257,22.251402316346635
7,2.1163656767951347,0.29263058797261315,1.6892057961494307,0.01829005334743567,7.2322093580770925,92.35652647160065
8,2.2229742090938305,0.306813703085701,1.770857583244743,0.025007516907153228,7.245355037069176,70.81301153647132
9,2.9091645763304785,0.390829272242853,1.9566171659956542,0.08657318272295536,7.443568798303279,22.60073043932167
