,Actual,Actual,Predicted,Predicted,Sharpe_Actual,Sharpe_Predicted
,mean,std,mean,std,,
Decile,,,,,,
0,0.3198987117413219,0.12749695282375192,0.4215215140724084,0.10385753964729136,2.5090694691624558,4.058651066681627
1,0.5463646875270186,0.05266464982672549,0.6315585040311872,0.028212210659174657,10.374410336433252,22.385998448009012
2,0.654447733722859,0.07117260479780058,0.7315963786377682,0.044929076989488025,9.195219643599208,16.28336096931033
3,0.8448168881378569,0.07975227130394942,0.8831616004629189,0.06561894482381374,10.593013519553777,13.458942426370916
4,1.0346006913044286,0.09204221485585248,1.0777602843539158,0.07877475266474089,11.240501903661478,13.68154450374193
5,1.3430693844795216,0.10263421123364194,1.3392551821887757,0.06334774020181734,13.085981451370904,21.14132529309001
6,1.6755327987797155,0.21102922937237673,1.6989677373602103,0.17253924441929405,7.939813853099532,9.846848136366503
7,2.0578186497173703,0.10843196513758807,2.0298626982445858,0.0726532972559888,18.97797062984359,27.939030641548264
8,2.346865498669245,0.20964178869406694,2.2790993128363866,0.13764168970263235,11.19464546304772,16.558204986877602
9,2.9630590527714302,0.2942118669123695,2.875115482217859,0.30108217827213446,10.071174503827788,9.549271560069467
